filename,field,severity,message,current_value
Laghu-yoga-vasishta-English.pdf,author,warning,Author not extracted,
Laghu-yoga-vasishta-English.pdf,publisher,info,Publisher not extracted,
Manglacharana.pdf,publisher,info,Publisher not extracted,
Mantreswara_s__Phaladeeplka.pdf,publisher,info,Publisher not extracted,
Narad_Bhakti_Shandilya_1p65.pdf,publisher,info,Publisher not extracted,
Nataraaja Ashtotharam01.pdf,publisher,info,Publisher not extracted,
Nitnem in Devanagari_hindi_english.pdf,publisher,info,Publisher not extracted,
Om_chant_Effect_on_Nervous_system.pdf,publisher,info,Publisher not extracted,
Power of Mantra.pdf,author,warning,Author not extracted,
Power of Mantra.pdf,publisher,info,Publisher not extracted,
Prasad.pdf,publisher,info,Publisher not extracted,
Raghav anulom vilom.pdf,publisher,info,Publisher not extracted,
Raghav-yadviyam.pdf,publisher,info,Publisher not extracted,
RekhaganitaVOL_II_DLI.pdf,author,warning,Author not extracted,
RekhaganitaVOL_II_DLI.pdf,publisher,info,Publisher not extracted,
RylbMXI2Ts6mwdUmAVTV_सिकंदर.pdf,publisher,info,Publisher not extracted,
Sandhyaa Rahasya  Pt chamupati.pdf,publisher,info,Publisher not extracted,
Satyarthaprakasa.pdf,author,warning,Author not extracted,
Satyarthaprakasa.pdf,publisher,info,Publisher not extracted,
Science_and_Astronomy_IJTK 13(4) 716-724.pdf,publisher,info,Publisher not extracted,
ShivaSahinta_WithHindiTika.pdf,author,warning,Author not extracted,
ShivaSahinta_WithHindiTika.pdf,publisher,info,Publisher not extracted,
Shiva_Sahinta_WithHindiTika.pdf,author,warning,Author not extracted,
Shiva_Sahinta_WithHindiTika.pdf,publisher,info,Publisher not extracted,
Solar_Eclipse_Om.pdf,publisher,info,Publisher not extracted,
Spectral_Analysis_Om.pdf,publisher,info,Publisher not extracted,
Sri Vishnu sahasranaam satrotam.pdf,publisher,info,Publisher not extracted,
Sri_Vishnu_sahasranaam_satrotam_sanskrit.pdf,publisher,info,Publisher not extracted,
Thompson_Richard_L._(aka_Sadaputa_dasa)_-_Vedic_Cosmography_and_Astronomy.pdf,publisher,info,Publisher not extracted,
Time_Frequency_Analysis_Om.pdf,publisher,info,Publisher not extracted,
Tukaramgatha_hindi.pdf,author,warning,Author not extracted,
Tukaramgatha_hindi.pdf,publisher,info,Publisher not extracted,
Vastu-for-House-eBook.pdf,publisher,info,Publisher not extracted,
Vrddhayavanjataka of Minaraja 1.pdf,author,warning,Author not extracted,
Vrddhayavanjataka of Minaraja 1.pdf,publisher,info,Publisher not extracted,
Vrddhayavanjataka of Minaraja 2 (2).pdf,author,warning,Author not extracted,
Vrddhayavanjataka of Minaraja 2 (2).pdf,publisher,info,Publisher not extracted,
Yoga-rasayanam-sanskrit-hindi.pdf,publisher,info,Publisher not extracted,
Yogi Kathamrita.pdf,author,warning,Author not extracted,
Yogi Kathamrita.pdf,publisher,info,Publisher not extracted,
anandramayan.pdf,publisher,info,Publisher not extracted,
aryabhata_with_english_commentary.pdf,publisher,info,Publisher not extracted,
bhavanbhaskar-vastu-shastra (1).pdf,author,warning,Author not extracted,
bhavanbhaskar-vastu-shastra (1).pdf,publisher,info,Publisher not extracted,
bhavanbhaskar-vastu-shastra.pdf,author,warning,Author not extracted,
bhavanbhaskar-vastu-shastra.pdf,publisher,info,Publisher not extracted,
bhrigu-samhita-hindi1.pdf,publisher,info,Publisher not extracted,
bijak_kabir-_saheb.pdf,author,warning,Author not extracted,
bijak_kabir-_saheb.pdf,publisher,info,Publisher not extracted,
bmcjyY4xSXasjO68ISeW_अथर्ववेद.pdf,publisher,info,Publisher not extracted,
bramsutr.pdf,author,warning,Author not extracted,
bramsutr.pdf,publisher,info,Publisher not extracted,
bramsutrSanskrit.pdf,author,warning,Author not extracted,
bramsutrSanskrit.pdf,publisher,info,Publisher not extracted,
brihat_parashara_hora_shastra_english_V.pdf,publisher,info,Publisher not extracted,
caitanya mahaprabhu ki siksa (hindi) 4th ed.pdf,publisher,info,Publisher not extracted,
chanakyasutrani-skt-text-with-hindi-commentary-1946.pdf,author,warning,Author not extracted,
chanakyasutrani-skt-text-with-hindi-commentary-1946.pdf,publisher,info,Publisher not extracted,
charaksamhitaatridevajigupt-vol-1.pdf,author,warning,Author not extracted,
charaksamhitaatridevajigupt-vol-1.pdf,publisher,info,Publisher not extracted,
charaksamhitaatridevajigupt-vol-2.pdf,author,warning,Author not extracted,
charaksamhitaatridevajigupt-vol-2.pdf,publisher,info,Publisher not extracted,
dasamgranth_all.pdf,author,warning,Author not extracted,
dasamgranth_all.pdf,publisher,info,Publisher not extracted,
durga-saptashati-hindi.pdf,author,warning,Author not extracted,
durga-saptashati-hindi.pdf,publisher,info,Publisher not extracted,
freq analysisi of OM.pdf,publisher,info,Publisher not extracted,
from Vedic Science to Vedant.pdf,author,warning,Author not extracted,
from Vedic Science to Vedant.pdf,publisher,info,Publisher not extracted,
gita-press-vedant-darshan-brahmasutra-sanskrit-hindi.pdf,publisher,info,Publisher not extracted,
harinama-mahamantra 10th ed (hindi)-1-.pdf,author,warning,Author not extracted,
harinama-mahamantra 10th ed (hindi)-1-.pdf,publisher,info,Publisher not extracted,
kashyapa01sutra.pdf,publisher,info,Publisher not extracted,
mantra-vigyan.pdf,author,warning,Author not extracted,
mantra-vigyan.pdf,publisher,info,Publisher not extracted,
narayan-kwach.pdf,publisher,info,Publisher not extracted,
nayanar.pdf,publisher,info,Publisher not extracted,
om1.pdf,publisher,info,Publisher not extracted,
panchatantrasanskrithindi-jpmishra1910.pdf,author,warning,Author not extracted,
panchatantrasanskrithindi-jpmishra1910.pdf,publisher,info,Publisher not extracted,
research-report-on-puran (2).pdf,publisher,info,Publisher not extracted,
sabdakalpadrumah - 04.pdf,publisher,info,Publisher not extracted,
sabdakalpadrumah - 05 (1).pdf,publisher,info,Publisher not extracted,
sby-a-research-study.pdf,publisher,info,Publisher not extracted,
selected Mantras_English.pdf,author,warning,Author not extracted,
selected Mantras_English.pdf,publisher,info,Publisher not extracted,
shiv thadav stotram.pdf,publisher,info,Publisher not extracted,
shiva-swarodaya-sanskrit-hindi.pdf,author,warning,Author not extracted,
shiva-swarodaya-sanskrit-hindi.pdf,publisher,info,Publisher not extracted,
super brainYoga_Research-English.pdf,publisher,info,Publisher not extracted,
suryaSiddhantaEnglish.pdf,author,warning,Author not extracted,
suryaSiddhantaEnglish.pdf,publisher,info,Publisher not extracted,
vachanamrut_001.pdf,publisher,info,Publisher not extracted,
vedant-darshan-brahmasutra-sanskrit-hindi.pdf,publisher,info,Publisher not extracted,
vivakchudamani.pdf,author,warning,Author not extracted,
vivakchudamani.pdf,publisher,info,Publisher not extracted,
vraja-mandala parikrama 2ed (hindi).pdf,publisher,info,Publisher not extracted,
001-Garg-Sanhita.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Srimad-Bhagavad-Gita-in-Gujarati.pdf,author,warning,Author not extracted,
Srimad-Bhagavad-Gita-in-Gujarati.pdf,publisher,info,Publisher not extracted,
Yatharth gita Gujrati .pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
GuruGita.pdf,author,warning,Author not extracted,
GuruGita.pdf,publisher,info,Publisher not extracted,
-sankat-mochan-hanuman-ashtak-304 2.pdf,publisher,info,Publisher not extracted,
Sankat Mochan Hanuman Ashtak  2.pdf,publisher,info,Publisher not extracted,
hanuman-bahuk-gitapress.pdf,author,warning,Author not extracted,
hanuman-bahuk-gitapress.pdf,publisher,info,Publisher not extracted,
WG989-1988 -Hanumad Rahasyam.pdf,author,warning,Author not extracted,
WG989-1988 -Hanumad Rahasyam.pdf,publisher,info,Publisher not extracted,
हस्तरेखा विज्ञान और पंचांगुली साधना.pdf,author,warning,Author not extracted,
हस्तरेखा विज्ञान और पंचांगुली साधना.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Hinduo Ke Riti Riwaj Tatha Manyatayein (Hindi).pdf,author,warning,Author not extracted,
Hinduo Ke Riti Riwaj Tatha Manyatayein (Hindi).pdf,publisher,info,Publisher not extracted,
हिन्दुत्व_विभिन्न_पहलू_सरलता_से.pdf,publisher,info,Publisher not extracted,
हिन्दू धर्म.pdf,author,warning,Author not extracted,
हिन्दू धर्म.pdf,publisher,info,Publisher not extracted,
हिन्दू_धर्म_हमारा_जन्मप्राप्त_धर्म.pdf,publisher,info,Publisher not extracted,
maa-kamakhya-mantra-sadhana.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Kamasutra of Vatsyayan with Hindi Trans. by Ramanand Sharma Series No. 4 - Bitthal Das Sanskrit Series.pdf,author,warning,Author not extracted,
Kamasutra of Vatsyayan with Hindi Trans. by Ramanand Sharma Series No. 4 - Bitthal Das Sanskrit Series.pdf,publisher,info,Publisher not extracted,
TheKamaSutraofVatsyayana_11359535.pdf,publisher,info,Publisher not extracted,
instapdf.in-kamasutra-132.pdf,author,warning,Author not extracted,
instapdf.in-kamasutra-132.pdf,publisher,info,Publisher not extracted,
kamasutraofvatsy00vatsuoft.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Kundalini Yog - Dr. Rakesh Giri.pdf,author,warning,Author not extracted,
Kundalini Yog - Dr. Rakesh Giri.pdf,publisher,info,Publisher not extracted,
Kundalini eng.pdf,author,warning,Author not extracted,
Kundalini eng.pdf,publisher,info,Publisher not extracted,
"कुंडलिनी जागरण एक अद्भुत यात्रा (Hindi Edition) (Sharma, Rahul [Sharma, Rahul]) (Z-Library).pdf",author,warning,Author not extracted,
"कुंडलिनी जागरण एक अद्भुत यात्रा (Hindi Edition) (Sharma, Rahul [Sharma, Rahul]) (Z-Library).pdf",publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Mahabharata-VOL-1.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-10.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-11.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-2.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-3.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-4.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-5.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-6.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-7.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-8.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-9.pdf,publisher,info,Publisher not extracted,
Mahabharata-VOL-I2.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
महाभारत (Vol-1 to 12) गोरखपुर प्रेस.pdf,author,warning,Author not extracted,
महाभारत (Vol-1 to 12) गोरखपुर प्रेस.pdf,publisher,info,Publisher not extracted,
DeviMahatmyam_sanskrit_text_with_malayalam_translation.pdf,publisher,info,Publisher not extracted,
Dwadasa_Jyotirlinga_Stotram_Malayalam.pdf,author,warning,Author not extracted,
Dwadasa_Jyotirlinga_Stotram_Malayalam.pdf,publisher,info,Publisher not extracted,
Sivanandalahari.pdf,publisher,info,Publisher not extracted,
SriVishnuSahasranamaStotramNamavali-MalayalamA5.pdf,publisher,info,Publisher not extracted,
SrikrishnaSahasranamam-Malayalam-FromSatwataSamhita.pdf,publisher,info,Publisher not extracted,
Mayamatam.zip,author,warning,Author not extracted,
Mayamatam.zip,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
narayan-kwach.pdf,publisher,info,Publisher not extracted,
"Narayaneeyam Bhagavata Condensed Of Meppathur Narayana Bhattatiri Traslated By Swami Tapasyananda - Sri Ramakrishna Math, Madras.pdf",author,warning,Author not extracted,
"Narayaneeyam Bhagavata Condensed Of Meppathur Narayana Bhattatiri Traslated By Swami Tapasyananda - Sri Ramakrishna Math, Madras.pdf",publisher,info,Publisher not extracted,
nity-karm-puja-prakash.pdf,publisher,info,Publisher not extracted,
jagannatha-astakam_odi.pdf,publisher,info,Publisher not extracted,
raghav-yadviyam.pdf,publisher,info,Publisher not extracted,
Paka Darpana of Nala Madhuri Hindi Commentary Indra Deva Tripathi Ed. Vamcharya Bhattacharya Chowkambha............pdf,author,warning,Author not extracted,
Paka Darpana of Nala Madhuri Hindi Commentary Indra Deva Tripathi Ed. Vamcharya Bhattacharya Chowkambha............pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
panini_Ashtadhyayi_Book8.pdf,publisher,info,Publisher not extracted,
panini_Ashtadhyayi_book1.pdf,publisher,info,Publisher not extracted,
panini_Ashtadhyayi_book2.pdf,publisher,info,Publisher not extracted,
panini_Ashtadhyayi_book3.pdf,publisher,info,Publisher not extracted,
panini_Ashtadhyayi_book4.pdf,publisher,info,Publisher not extracted,
panini_Ashtadhyayi_book5.pdf,publisher,info,Publisher not extracted,
panini_Ashtadhyayi_book6.pdf,publisher,info,Publisher not extracted,
panini_Ashtadhyayi_book7.pdf,publisher,info,Publisher not extracted,
panini_Kosha_Dictionary of the Sanskrit.pdf,publisher,info,Publisher not extracted,
panini_Mahabhashya_I.pdf,author,warning,Author not extracted,
panini_Mahabhashya_I.pdf,publisher,info,Publisher not extracted,
panini_Mahabhashya_II.pdf,author,warning,Author not extracted,
panini_Mahabhashya_II.pdf,publisher,info,Publisher not extracted,
panini_Mahabhashya_III.pdf,author,warning,Author not extracted,
panini_Mahabhashya_III.pdf,publisher,info,Publisher not extracted,
panini_Mahabhashya_IV.pdf,author,warning,Author not extracted,
panini_Mahabhashya_IV.pdf,publisher,info,Publisher not extracted,
panini_Mahabhashya_V.pdf,author,warning,Author not extracted,
panini_Mahabhashya_V.pdf,publisher,info,Publisher not extracted,
panini_Mahabhashya_VI.pdf,author,warning,Author not extracted,
panini_Mahabhashya_VI.pdf,publisher,info,Publisher not extracted,
panini_TheDhatupathaOfPanini.pdf,publisher,info,Publisher not extracted,
panini_kashika.pdf,author,warning,Author not extracted,
panini_kashika.pdf,publisher,info,Publisher not extracted,
panini_kashika.pdf,page_count,warning,PDF has 0 pages (possibly encrypted or corrupted),
1hFBrGP2e8hyd1wmah5YaWfVE6wQZWevL_210828_120700.pdf,author,warning,Author not extracted,
1hFBrGP2e8hyd1wmah5YaWfVE6wQZWevL_210828_120700.pdf,publisher,info,Publisher not extracted,
5_6334447321257870315.pdf,publisher,info,Publisher not extracted,
Agni_Puran_of_Maharshi_Vyas_Mansukh_Ray_Mor_Guru_Mandal_Granth_Mala.pdf,author,warning,Author not extracted,
Agni_Puran_of_Maharshi_Vyas_Mansukh_Ray_Mor_Guru_Mandal_Granth_Mala.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Devi Bhagvat Puran.pdf,publisher,info,Publisher not extracted,
Kalika-Puran.pdf,publisher,info,Publisher not extracted,
agni-puran (2).pdf,author,warning,Author not extracted,
agni-puran (2).pdf,publisher,info,Publisher not extracted,
bavishya-puran (1).pdf,author,warning,Author not extracted,
bavishya-puran (1).pdf,publisher,info,Publisher not extracted,
bhagwat-puran (1).pdf,author,warning,Author not extracted,
bhagwat-puran (1).pdf,publisher,info,Publisher not extracted,
brahamand (1).pdf,author,warning,Author not extracted,
brahamand (1).pdf,publisher,info,Publisher not extracted,
brahamandp (1).pdf,author,warning,Author not extracted,
brahamandp (1).pdf,publisher,info,Publisher not extracted,
bramha (1).pdf,author,warning,Author not extracted,
bramha (1).pdf,publisher,info,Publisher not extracted,
garuda1 (1).pdf,author,warning,Author not extracted,
garuda1 (1).pdf,publisher,info,Publisher not extracted,
kalkipuranhindi1.pdf,publisher,info,Publisher not extracted,
kurma (1).pdf,author,warning,Author not extracted,
kurma (1).pdf,publisher,info,Publisher not extracted,
ling (1).pdf,author,warning,Author not extracted,
ling (1).pdf,publisher,info,Publisher not extracted,
markende-puran (1).pdf,author,warning,Author not extracted,
markende-puran (1).pdf,publisher,info,Publisher not extracted,
matsya-puran-1 (1).pdf,author,warning,Author not extracted,
matsya-puran-1 (1).pdf,publisher,info,Publisher not extracted,
matsya-puran-2 (1).pdf,author,warning,Author not extracted,
matsya-puran-2 (1).pdf,publisher,info,Publisher not extracted,
nard-puran (1).pdf,author,warning,Author not extracted,
nard-puran (1).pdf,publisher,info,Publisher not extracted,
padam-puran (1).pdf,author,warning,Author not extracted,
padam-puran (1).pdf,publisher,info,Publisher not extracted,
sakand-puran.pdf,author,warning,Author not extracted,
sakand-puran.pdf,publisher,info,Publisher not extracted,
vaivtpuran (1).pdf,author,warning,Author not extracted,
vaivtpuran (1).pdf,publisher,info,Publisher not extracted,
vamanpuran (1).pdf,author,warning,Author not extracted,
vamanpuran (1).pdf,publisher,info,Publisher not extracted,
varaha-puran (1).pdf,author,warning,Author not extracted,
varaha-puran (1).pdf,publisher,info,Publisher not extracted,
vayu-puran.pdf,publisher,info,Publisher not extracted,
vishnu-puran (1).pdf,author,warning,Author not extracted,
vishnu-puran (1).pdf,publisher,info,Publisher not extracted,
अग्नि पुराण.pdf,author,warning,Author not extracted,
अग्नि पुराण.pdf,publisher,info,Publisher not extracted,
ऋग्वेद.pdf,publisher,info,Publisher not extracted,
कल्की पुराण.pdf,publisher,info,Publisher not extracted,
कूर्म पुराण.pdf,author,warning,Author not extracted,
कूर्म पुराण.pdf,publisher,info,Publisher not extracted,
गरुड पुराण.pdf,author,warning,Author not extracted,
गरुड पुराण.pdf,publisher,info,Publisher not extracted,
नरसिंह पुराण.pdf,author,warning,Author not extracted,
नरसिंह पुराण.pdf,publisher,info,Publisher not extracted,
नारद पुराण.pdf,author,warning,Author not extracted,
नारद पुराण.pdf,publisher,info,Publisher not extracted,
ब्रम्हा पुराण.pdf,author,warning,Author not extracted,
ब्रम्हा पुराण.pdf,publisher,info,Publisher not extracted,
ब्रह्म वैवर्त पुराण.pdf,author,warning,Author not extracted,
ब्रह्म वैवर्त पुराण.pdf,publisher,info,Publisher not extracted,
भविष्य पुराण.pdf,author,warning,Author not extracted,
भविष्य पुराण.pdf,publisher,info,Publisher not extracted,
मत्स्य पुराण 1.pdf,author,warning,Author not extracted,
मत्स्य पुराण 1.pdf,publisher,info,Publisher not extracted,
मत्स्य पुराण 2.pdf,author,warning,Author not extracted,
मत्स्य पुराण 2.pdf,publisher,info,Publisher not extracted,
वराह पुराण.pdf,publisher,info,Publisher not extracted,
वामन पुराण.pdf,author,warning,Author not extracted,
वामन पुराण.pdf,publisher,info,Publisher not extracted,
विष्णु पुराण.pdf,author,warning,Author not extracted,
विष्णु पुराण.pdf,publisher,info,Publisher not extracted,
शिव पुराण (2).pdf,publisher,info,Publisher not extracted,
शिव पुराण.pdf,author,warning,Author not extracted,
शिव पुराण.pdf,publisher,info,Publisher not extracted,
श्री गणेश पुराण.pdf,author,warning,Author not extracted,
श्री गणेश पुराण.pdf,publisher,info,Publisher not extracted,
श्री_मद्भागवत_महापुराण_द्वितीय_खण्ड.pdf,publisher,info,Publisher not extracted,
श्री_मद्भागवत_महापुराण_प्रथम_खण्ड.pdf,publisher,info,Publisher not extracted,
स्कन्द पुराण.pdf,author,warning,Author not extracted,
स्कन्द पुराण.pdf,publisher,info,Publisher not extracted,
3-4-saama-vedamu.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Linga-Puranam.pdf,publisher,info,Publisher not extracted,
MarkandeyaPuranamu.pdf,publisher,info,Publisher not extracted,
PU010-BrahmaPuranamu-1To3.pdf,publisher,info,Publisher not extracted,
Padma-Puranam.pdf,publisher,info,Publisher not extracted,
Scanda-Puranam-Telugu.pdf,publisher,info,Publisher not extracted,
VaisakhaPuranam-1.pdf,author,warning,Author not extracted,
VaisakhaPuranam-1.pdf,publisher,info,Publisher not extracted,
agni-puranam (1).pdf,publisher,info,Publisher not extracted,
basava-puranam-telugu.pdf,author,warning,Author not extracted,
basava-puranam-telugu.pdf,publisher,info,Publisher not extracted,
bhavishyapuranam-telugu.pdf,author,warning,Author not extracted,
bhavishyapuranam-telugu.pdf,publisher,info,Publisher not extracted,
karthikapuranam.pdf,author,warning,Author not extracted,
karthikapuranam.pdf,publisher,info,Publisher not extracted,
18-maha-puranas-in-english.pdf,publisher,info,Publisher not extracted,
ALL Puran English.pdf,publisher,info,Publisher not extracted,
Agni Puran 2.pdf,publisher,info,Publisher not extracted,
Agni puran 3.pdf,publisher,info,Publisher not extracted,
Brahm Vaivart Puran 1.pdf,author,warning,Author not extracted,
Brahm Vaivart Puran 1.pdf,publisher,info,Publisher not extracted,
Brahm Vaivart Puran 2.pdf,author,warning,Author not extracted,
Brahm Vaivart Puran 2.pdf,publisher,info,Publisher not extracted,
Brahm Vaivart Puran 3.pdf,author,warning,Author not extracted,
Brahm Vaivart Puran 3.pdf,publisher,info,Publisher not extracted,
Brahmand Puran 1.pdf,publisher,info,Publisher not extracted,
Brahmand Puran 2.pdf,publisher,info,Publisher not extracted,
Brahmand Puran 3.pdf,publisher,info,Publisher not extracted,
Brahmand Puran 4.pdf,publisher,info,Publisher not extracted,
Brahmand Puran 5.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Garud Puran complete.pdf,publisher,info,Publisher not extracted,
Kalika Puran.pdf,author,warning,Author not extracted,
Kalika Puran.pdf,publisher,info,Publisher not extracted,
Kalki-Purana-english.pdf,author,warning,Author not extracted,
Kalki-Purana-english.pdf,publisher,info,Publisher not extracted,
Kurm Puran.pdf,author,warning,Author not extracted,
Kurm Puran.pdf,publisher,info,Publisher not extracted,
Ling Puran 1.pdf,author,warning,Author not extracted,
Ling Puran 1.pdf,publisher,info,Publisher not extracted,
